"NUM"	"RegionId"	"DistrictId"	"CommuneId"	"Departemen"	"Commune"	"CodeCommun"	"SanteID"	"HealthC_ID"	"NomInstitu"	"Fac_NameEN"	"Fac_NameFr"	"FacNameKr"	"Oorganisat"	"Categorie"	"Type"	"PCode"	"Damage"	"Address"	"Telephone"	"FAX"	"email"	"Constructn"	"Comment"	"X_DDS"	"Y_DDS"	"Accuracy"	"Source"
0	4	2	21	"NORD EST"	"OUANAMINTHE"	421	6	4210045	"DISPENSAIRE D'ACUL DES PINS"				"MSPP"	"DISP"		95000								-71.810629000000	19.497520000000		"2005 MSPP database with geocodes"
1	4	2	22	"NORD EST"	"CAPOTILLE"	422	3	4220046	"DISPENSAIRE DE CAPOTILLE"				"MSPP"	"DISP"		95001							"Multiple records - possible location"	-71.693153000000	19.447666000000		"2005 MSPP database with geocodes"
2	4	3	31	"NORD EST"	"MONT ORGANISE"	423	0	4239001	"CENTRE MEDICOSOCIAL DE MONT-ORGANISE"				"MSPP/CDS"	"C/S"		95002								-71.780972000000	19.409216000000		"2005 MSPP database with geocodes"
3	4	3	31	"NORD EST"	"TROU DU NORD"	431	2	4310048	"CENTRE DE SANTE DE TROU DU NORD"				"MSPP"	"C/S"		95003								-72.026717000000	19.612026000000		"2005 MSPP database with geocodes"
4	4	3	31	"NORD EST"	"TROU DU NORD"	431	5	4310049	"DISPENSAIRE DE ROCHES PLATES"				"MSPP"	"DISP"		95004								-71.975666000000	19.556371000000		"2005 MSPP database with geocodes"
5	1	5	21	"OUEST"	"LEOGANE"	121	0	1219002	"CENTRE DE SANTE BON BERGER"				"ASSOCIATION DES FEMMES D'OEUVRER AUX ENFANTS DEMUNIS"	"C/S"		95005								-72.560150000000	18.535889000000		"2005 MSPP database with geocodes"
6	1	5	16	"OUEST"	"GRESSIER"	116	149	1160001	"CENTRE DE SANTE CHRISTIAN VILLE"					"CSL"	"PRI"	11602								-72.553549000000	18.524036000000		"2005 MSPP database with geocodes"
7	1	5	16	"OUEST"	"GRESSIER"	116	150	1160002	"FOSADEC"				"PAM / CRS / AOPS"	"CSL"	"PRI"	11603								-72.496915000000	18.540878000000		"2005 MSPP database with geocodes"
8	1	1	13	"OUEST"	"CARREFOUR"	113	0	1139018	"DISPENSAIRE ZEV ATISAN LAPE"					"DISP"		95006								-72.447260000000	18.543708000000		"2005 MSPP database with geocodes"
9	1	5	16	"OUEST"	"GRESSIER"	116	153	1160004	"DISPENSAIRE DE MORNE A BATEAU"					"DISP"	"PRI"	11606								-72.512367000000	18.546771000000		"2005 MSPP database with geocodes"
10	1	5	21	"OUEST"	"LEOGANE"	121	3	1210005	"CENTRE MEDICO - COMMUNAUTAIRE DE DARBONE"				"EGLISE EPISCOPALE / MSPP"	"CSL"	"MIX"	12102								-72.590039000000	18.492830000000		"2005 MSPP database with geocodes"
11	1	5	21	"OUEST"	"LEOGANE"	121	5	1210006	"CENTRE DE SANTE FARNESE LOUIS CHARLES DE PASQUA"					"C/S"		95007								-72.642773000000	18.427154000000		"2005 MSPP database with geocodes"
12	1	5	21	"OUEST"	"LEOGANE"	121	8	1210007	"HOPITAL CARDINAL LEGER"					"HOP"	"PRI"	12104								-72.609578000000	18.513183000000		"2005 MSPP database with geocodes"
13	1	5	21	"OUEST"	"LEOGANE"	121	9	1210008	"CENTRE MATERNO INFANTIL DE LEOGANE"				"EGLISE EPISCOPALE / MSPP"	"CSL"	"MIX"	12105								-72.629139000000	18.506258000000		"2005 MSPP database with geocodes"
14	1	5	21	"OUEST"	"LEOGANE"	121	11	1210009	"SANATORIUM DE LEOGANE"					"HOP"	"PUB"	12106								-72.605227000000	18.512225000000		"2005 MSPP database with geocodes"
15	1	5	21	"OUEST"	"LEOGANE"	121	0	1219001	"ASILE ST VINCENT DE PAUL"				"MSPP"	"C/S"		95008								-72.608521000000	18.514344000000		"2005 MSPP database with geocodes"
16	1	5	21	"OUEST"	"LEOGANE"	121	14	1210011	"HOPITAL STE CROIX"				"Rev Bertholde Phanor"	"HOP"	"PRI"	12108							"Multiple records - possible location"	-72.631325000000	18.506972000000		"2005 MSPP database with geocodes"
17	1	5	21	"OUEST"	"LEOGANE"	121	16	1210012	"DISPENSAIRE ST ANTOINE DE FOND D'OIE"				"ASSOCIATION PAYSAN FOND OIES (APF)"	"DISP"	"PRI"	12110								-72.579631000000	18.389781000000		"2005 MSPP database with geocodes"
18	1	5	21	"OUEST"	"LEOGANE"	121	0	1219006	"DISPENSAIRE DE TROUIN"				"STE CROIX / MSPP"	"DISP"	"PUB"	12111								-72.653408000000	18.365145000000		"2005 MSPP database with geocodes"
19	1	5	21	"OUEST"	"LEOGANE"	121	18	1210014	"DISPENSAIRE PETIT HARPON"				"L'EGLISE EPISCOPALE / HOPITAL STE CROIX"	"CSL"	"PRI"	12112								-72.621028000000	18.373423000000		"2005 MSPP database with geocodes"
20	1	5	21	"OUEST"	"LEOGANE"	121	15	1210015	"BIRE (NEW MISSION)"					"CSL"	"PRI"	12109								-72.586138000000	18.562316000000		"2005 MSPP database with geocodes"
21	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	5	1310016	"DP DE BAS BOEN"					"DISP"	"PUB"	13101								-72.245563000000	18.581533000000		"2005 MSPP database with geocodes"
22	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	7	1310017	"HOPITAL DE BEUDET"				"MSPP"	"HOP"	"PUB"	13102								-72.213107000000	18.611548000000		"2005 MSPP database with geocodes"
23	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	12	1310018	"CENTRE DE SANTE DE CROIX-DES-BOUQUETS"					"CSL"	"PUB"	13103								-72.227041000000	18.575717000000		"2005 MSPP database with geocodes"
24	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	15	1310019	"CENTRE DE SANTE OPERATION DOUBLE HARVEST"				"DOUBLE HARVEST"	"CSL"	"PRI"	13104								-72.192550000000	18.542574000000		"2005 MSPP database with geocodes"
25	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	16	1310020	"CENTRE DE SANTE H.E.L.P. INC DE VAUDREUIL"					"CSL"	"PRI"	13105								-72.176675000000	18.588044000000		"2005 MSPP database with geocodes"
26	1	9	31	"OUEST"	"CROIX-DES-BOUQUES"	131	17	1310021	"CENTRE SANTE LUCELIA BONTEMPS"				"FILLES DE LA CHARITE ST VINCENT DE PAUL"	"CSL"	"PRI"	13106								-72.310061000000	18.612616000000		"2005 MSPP database with geocodes"
